p,d,q,AIC,BIC
1,0,6,32429.454466949435,32549.06178225166
2,0,6,32430.16354058952,32555.751221656858
4,0,6,32435.14885978552,32572.69727238308
5,0,6,32437.247012857686,32580.775791220356
6,0,0,32437.271252195613,32550.904700792136
6,0,6,32437.99219740667,32587.50134153445
6,0,1,32438.444320619106,32558.0584770365
2,0,5,32438.579151447488,32558.19330786488
0,0,6,32439.477986497906,32553.10493603502
1,0,5,32439.660876055197,32553.29432465172
3,0,5,32440.110985989362,32565.705850227627
6,0,2,32440.43023870493,32566.025102943193
4,0,5,32446.724945864105,32578.30051792324
6,0,4,32450.15560544616,32587.711885326164
3,0,4,32453.60704966457,32573.22804485789
4,0,2,32453.760043562022,32567.406483612045
3,1,6,32453.98358518173,32585.544104212564
5,0,1,32454.906068308424,32568.546013742078
5,0,4,32455.104850738062,32586.687945450714
2,0,4,32455.758969849023,32569.398915282676
5,1,6,32455.91335446784,32599.433920683296
1,0,4,32456.477707063776,32564.136602737763
5,0,0,32457.04609994753,32564.704995621516
0,0,5,32457.88743978496,32565.540180560616
5,0,2,32458.10082681381,32577.72182200713
5,0,3,32458.514702923567,32584.116747876553
4,1,6,32458.542065039317,32596.08260766246
6,1,6,32458.79387571927,32608.294465527037
4,0,4,32459.68477725041,32585.286822203398
5,0,5,32462.34759320978,32599.90387308978
1,0,3,32465.986320055054,32567.669976941914
4,0,0,32465.98905726843,32567.67271415529
4,0,1,32468.060637397022,32575.725685865462
2,0,3,32468.07570271282,32575.74075118126
3,0,3,32468.569480593018,32582.21592064304
1,1,6,32469.388967816594,32588.989439662808
5,1,5,32471.08199499105,32608.63040758861
6,1,3,32472.64150628155,32604.209553113997
3,0,0,32474.639056882526,32570.346789469597
1,0,2,32476.159725273206,32571.867457860277
3,0,1,32476.670836449724,32578.360302323486
2,0,2,32476.73632482566,32578.42579069942
3,0,2,32478.614449540844,32586.285648701298
6,1,1,32481.22002145618,32600.827336758408
6,1,2,32481.643281634962,32607.2309627023
4,0,3,32482.80651539261,32602.434347024213
3,1,4,32483.132474812475,32602.746631229867
2,0,0,32483.6852115113,32573.416334637517
5,1,4,32484.798018794063,32616.373590853196
2,0,1,32484.857185599027,32580.570383600327
4,1,4,32484.88817181348,32610.483036051744
2,1,4,32485.862225381086,32599.49567397761
5,1,2,32488.770760352636,32608.38491677003
5,1,3,32491.40150981294,32616.996374051203
0,0,4,32493.82645052491,32595.50429643923
3,1,3,32494.133539171064,32607.773484604717
5,1,1,32495.884458946202,32609.517907542726
0,1,6,32498.48492749274,32612.105375746643
0,1,5,32498.51323872756,32606.15982249956
1,1,3,32501.54120596127,32603.219051875592
1,0,1,32503.090073580064,32592.82119670628
2,1,5,32503.44896992773,32623.056285229955
1,1,4,32503.644152109693,32611.296892885348
4,1,3,32506.249280851538,32625.870276044858
4,1,2,32507.443724904,32621.08367033765
3,1,2,32507.82277282336,32615.4878212918
4,1,1,32508.80897729994,32616.467872973928
2,1,2,32512.209441477375,32613.893098364235
2,1,3,32512.479211577047,32620.138107251034
6,1,4,32517.083182706905,32654.631595304465
3,0,6,32521.06044235908,32652.628489191527
2,1,6,32524.298272667816,32649.87876810634
3,1,1,32532.624096389492,32634.307753276353
0,0,3,32535.31430163124,32631.01656693652
2,1,1,32536.26161009365,32631.96934268072
1,1,5,32536.98184149798,32650.608791035094
1,1,2,32539.38554760525,32635.08781291053
0,1,4,32540.780316561315,32642.4523495161
6,1,5,32563.219303198293,32706.748081560963
6,0,5,32570.81088286319,32714.34787056406
4,1,5,32574.387859525297,32705.955906357744
6,0,3,32576.176717652346,32707.75228971148
0,1,3,32595.16107434279,32690.857870497442
3,1,5,32616.52250493978,32742.110186007118
0,0,2,32631.355506744905,32721.081506045284
6,2,6,32651.94720510564,32801.439237665334
1,0,0,32655.271904722384,32739.02573357797
6,1,0,32663.620345309246,32777.24729484636
1,1,1,32665.310256295343,32755.03625559572
5,1,0,32699.170879202582,32806.82361997823
3,2,6,32704.564345856616,32836.117334509145
4,2,6,32708.901296603253,32846.43396655817
0,1,2,32716.750986181672,32806.471859905374
1,2,6,32726.21803423095,32845.811660278705
2,2,5,32737.423865710152,32857.024337556366
4,1,0,32737.754437360785,32839.432283275106
0,1,1,32740.529102443044,32824.27336845673
3,2,5,32741.30669933184,32866.88719477036
5,2,6,32742.3047713269,32885.81712258421
0,2,6,32750.196040250554,32863.80998499592
1,2,4,32752.028019486057,32859.674603258056
2,2,6,32756.841871602883,32882.41517895302
6,2,5,32761.285919522594,32904.80648573805
6,2,4,32767.65520953721,32905.195752160354
0,2,5,32773.955115450066,32881.59554011166
1,2,5,32779.725715977635,32893.34616423153
4,2,4,32787.05387031343,32912.641551380766
3,1,0,32790.57828163622,32886.2805469415
5,2,4,32794.261546390546,32925.829593222996
5,2,5,32806.474963155495,32944.01550577864
2,2,4,32809.51598376841,32923.14293330553
4,2,5,32815.36259705791,32946.92311608874
6,2,3,32817.44695615017,32949.007475181
0,2,4,32825.332205231345,32926.998423238234
3,2,4,32827.1712389498,32946.77855425202
5,2,3,32834.45219874244,32960.039879809774
2,1,0,32837.91352933134,32927.63952863171
2,2,3,32860.491144602114,32968.143885377765
0,2,3,32869.95758919829,32965.6489143322
4,2,3,32870.19580617545,32989.809962592844
6,2,1,32873.56534421367,32993.16581605988
5,2,2,32886.80897346468,33006.4162887669
6,2,2,32889.75825924238,33015.3387546809
3,2,3,32892.616933421494,33006.25038201802
1,2,3,32900.32505656929,33001.99708952407
5,2,1,32912.41689759187,33026.04384712899
1,1,0,32917.337704639176,33001.08675289031
0,0,1,32920.55014472142,33004.299192972554
4,2,2,32926.33428634138,33039.967734937905
1,2,1,32934.9299953883,33024.650869112
1,2,2,32942.424952639005,33038.12174879366
2,2,1,32963.912865692306,33059.61513099759
3,2,2,32968.32643410403,33075.985329778014
4,2,1,32978.95842006222,33086.61116083787
0,2,2,32983.55973757954,33073.27548397453
2,2,2,33025.1445132294,33126.82235914373
3,2,1,33070.27488572599,33171.95273164031
6,2,0,33380.86540124465,33494.48584949855
0,0,0,33404.0200479213,33481.79146043006
5,2,0,33523.03785720673,33630.68444097873
0,2,1,33559.08367812427,33642.82316026639
0,1,0,33565.62908482479,33643.396058200844
4,2,0,33684.12488669786,33785.79691965264
3,2,0,33918.822738198156,34014.51953435281
2,2,0,34215.85213944728,34305.57301317098
1,2,0,34837.51892220449,34921.263188218174
0,2,0,36539.045534641875,36616.80806736887
